Rank,Name,Position,Team,Weekly Salary,year
90.0,Marko Marin,Midfielder,CFC,62149,2015
91.0,Leighton Baines,Defender,EFC,60923,2015
92.0,Ramires Santos do Nascimento,Midfielder,CFC,60124,2015
93.0,Laurent Koscielny,Defender,AFC,60000,2015
93.0,Cesar Azpilicueta,Defender,CFC,60000,2015
93.0,Asmir Begovic,Goalkeeper,CFC,60000,2015
93.0,Thibaut Courtois,Goalkeeper,CFC,60000,2015
93.0,Scott Dann,Defender,CP,60000,2015
93.0,Connor Wickham,Forward,CP,60000,2015
93.0,Gareth Barry,Midfielder,EFC,60000,2015
93.0,Adnan Januzaj,Forward,MUFC,60000,2015
93.0,Aleksandar Mitrovic,Forward,NUFC,60000,2015
93.0,Jose Salomon Rondon,Forward,WBAFC,60000,2015
93.0,Angelo Ogbonna,Defender,WHUFC,60000,2015
93.0,Winston Reid,Defender,WHUFC,60000,2015
105.0,Bakary Sako,Midfielder,CP,55000,2015
105.0,Oumar Niasse,Forward,EFC,55000,2015
105.0,Jay Rodriguez,Forward,SFC,55000,2015
105.0,Mousa Dembele,Midfielder,THFC,55000,2015
109.0,Libor Kozak,Forward,AVFC,53365,2015
110.0,Brad Guzan,Goalkeeper,AVFC,51407,2015
111.0,Hector Bellerin,Defender,AFC,50000,2015
111.0,Victor Moses,Defender,CFC,50000,2015
111.0,James McArthur,Midfielder,CP,50000,2015
111.0,Tom Cleverley,Midfielder,EFC,50000,2015
111.0,Phil Jagielka,Defender,EFC,50000,2015
111.0,Aaron Lennon,Forward,EFC,50000,2015
111.0,James McCarthy,Midfielder,EFC,50000,2015
111.0,Tim Krul,Goalkeeper,NUFC,50000,2015
111.0,Lukasz Fabianski,Goalkeeper,SWFC,50000,2015
111.0,Jordy Clasie,Midfielder,SFC,50000,2015
111.0,Giannelli Imbula,Midfielder,SCFC,50000,2015
111.0,Harry Kane,Forward,THFC,50000,2015
111.0,Mark Noble,Midfielder,WHUFC,50000,2015
111.0,Pedro Obiang,Midfielder,WHUFC,50000,2015
125.0,Ross Barkley,Midfielder,EFC,48000,2015
125.0,Gerard Deulofeu,Forward,EFC,48000,2015
125.0,Bojan Krkic,Midfielder,SCFC,48000,2015
128.0,Kieran Gibbs,Defender,AFC,46000,2015
129.0,Calum Chambers,Defender,AFC,45000,2015
129.0,Carl Jenkinson,Defender,AFC,45000,2015
129.0,Victor Moses,Defender,CFC,45000,2015
129.0,Danny Drinkwater,Midfielder,LC,45000,2015
129.0,Emre Can,Midfielder,LFC,45000,2015
129.0,Matteo Darmian,Defender,MUFC,45000,2015
129.0,Ayoze Perez,Forward,NUFC,45000,2015
129.0,Ryan Shawcross,Defender,SCFC,45000,2015
129.0,Philipp Wollscheid,Defender,SCFC,45000,2015
129.0,Federico Fazio,Defender,THFC,45000,2015
129.0,Nordin Amrabat,Forward,WAT,45000,2015
140.0,Federico Fernandez,Defender,SCAFC,43000,2015
141.0,Andreas Andreas Weimann,Forward,AVFC,42899,2015
142.0,Kurt Zouma,Defender,CFC,42308,2015
143.0,Aiden McGeady,Forward,EFC,42000,2015
143.0,Valon Behrami,Midfielder,WAT,42000,2015
145.0,Ryan Bertrand,Defender,CFC,40083,2015
146.0,David Ospina,Goalkeeper,AFC,40000,2015
146.0,Ramiro Funes Mori,Defender,EFC,40000,2015
146.0,Yohan Benalouane,Defender,LC,40000,2015
146.0,Alberto Moreno,Defender,LFC,40000,2015
146.0,Siem de Jong,Midfielder,NUFC,40000,2015
146.0,Nabil Bentaleb,Midfielder,THFC,40000,2015
146.0,Mario Suarez,Midfielder,WAT,40000,2015
146.0,Enner Valencia,Forward,WHUFC,40000,2015
154.0,Jores Okore,Defender,AVFC,39904,2015
155.0,Seamus Coleman,Defender,EFC,38000,2015
155.0,Robert Huth,Defender,LC,38000,2015
155.0,Erik Pieters,Defender,SCFC,38000,2015
155.0,Clinton Njie,Forward,THFC,38000,2015
159.0,Shay Given,Goalkeeper,AVFC,37692,2015
160.0,Sung-Yeung Ki,Midfielder,SCAFC,36000,2015
160.0,Wayne Routledge,Midfielder,SCAFC,36000,2015
162.0,Andrew Surman,Midfielder,BOU,35000,2015
162.0,Andreas Christensen,Defender,CFC,35000,2015
162.0,Fraizer Campbell,Forward,CP,35000,2015
162.0,Jason Puncheon,Midfielder,CP,35000,2015
162.0,Wilfried Zaha,Forward,CP,35000,2015
162.0,Shinji Okazaki,Forward,LC,35000,2015
162.0,Lazar Markovic,Forward,LFC,35000,2015
162.0,Vurnon Anita,Defender,NUFC,35000,2015
162.0,Jack Colback,Midfielder,NUFC,35000,2015
162.0,Yoan Gouffran,Midfielder,NUFC,35000,2015
162.0,Chancel Mbemba,Defender,NUFC,35000,2015
162.0,Emmanuel Riviere,Forward,NUFC,35000,2015
162.0,Henri Saivet,Midfielder,NUFC,35000,2015
162.0,Charlie Adam,Midfielder,SCFC,35000,2015
162.0,Jack Butland,Goalkeeper,SCFC,35000,2015
162.0,Jack Cork,Midfielder,SCAFC,35000,2015
162.0,Kieran Trippier,Defender,THFC,35000,2015
