No,Name,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,year
772,Moussa Sissoko,Newcastle United,34,3037,4,4,2,3.95,3.95,4.65,12.27,6.72,0.12,0.12,0.14,0.26,0.26,0.36,0.2,2014
840,Dusan Tadic,Southampton,31,2072,4,3,7,5.63,4.11,9.0,18.35,7.75,0.24,0.18,0.39,0.64,0.57,0.8,0.34,2014
871,Bojan,Stoke,16,1236,4,3,1,2.6,1.84,1.7,3.77,1.55,0.19,0.13,0.12,0.31,0.26,0.27,0.11,2014
929,Adam Johnson,Sunderland,32,2085,4,3,1,3.22,2.46,3.92,7.58,4.62,0.14,0.11,0.17,0.31,0.28,0.33,0.2,2014
931,Jordi Gomez,Sunderland,29,1952,4,1,2,3.72,1.44,1.79,6.75,4.44,0.17,0.07,0.08,0.25,0.15,0.31,0.2,2014
1008,Brown Ideye,West Bromwich Albion,24,1286,4,4,2,3.97,3.97,1.23,4.58,1.57,0.28,0.28,0.09,0.36,0.36,0.32,0.11,2014
1253,Edin Dzeko,Manchester City,22,928,4,4,2,3.97,3.97,1.31,6.8,2.67,0.39,0.39,0.13,0.51,0.51,0.66,0.26,2014
1698,Abel Hernandez,Hull,25,1307,4,3,1,5.41,4.65,0.85,4.14,0.83,0.37,0.32,0.06,0.43,0.38,0.29,0.06,2014
4434,Didier Drogba,Chelsea,28,831,4,4,1,2.73,2.73,1.53,5.03,2.01,0.3,0.3,0.17,0.46,0.46,0.54,0.22,2014
4471,Mohamed Diame,Hull,15,937,4,4,0,1.21,1.21,0.17,2.14,0.9,0.12,0.12,0.02,0.13,0.13,0.21,0.09,2014
85,Eduardo Vargas,Queens Park Rangers,21,1389,3,3,2,3.48,3.48,1.82,6.13,2.88,0.23,0.23,0.12,0.34,0.34,0.4,0.19,2014
154,Andre Schurrle,Chelsea,14,428,3,3,0,3.25,3.25,0.6,4.82,1.4,0.68,0.68,0.13,0.81,0.81,1.01,0.3,2014
494,Laurent Koscielny,Arsenal,27,2289,3,3,0,1.27,1.27,0.12,3.69,3.62,0.05,0.05,0.0,0.05,0.05,0.15,0.14,2014
541,Victor Moses,Stoke,19,1473,3,2,3,4.52,3.76,2.32,6.23,1.94,0.28,0.23,0.14,0.42,0.37,0.38,0.12,2014
585,Seamus Coleman,Everton,35,3062,3,3,2,2.01,2.01,2.73,8.56,5.94,0.06,0.06,0.08,0.14,0.14,0.25,0.17,2014
